方向,姓名,研究内容,方向页
理论与计算物理,Satoshi Nawata,"Intriguing connections of supersymmetric gauge theories, topological quantum field theories, mathematical physics and string theory via dynamics of M5-branes.",https://phys.fudan.edu.cn/f9/ac/c7537a260524/page.htm
理论与计算物理,车静光,固体物理学、计算物理学，新颖自旋电子学材料物性操控的计算机模拟和设计。,https://phys.fudan.edu.cn/f9/ac/c7537a260524/page.htm
理论与计算物理,陈焱,复杂量子体系中新奇量子态的理论与计算研究，包括非常规超导电性、自旋液体、超冷原子等。,https://phys.fudan.edu.cn/f9/ac/c7537a260524/page.htm
理论与计算物理,龚新高,计算凝聚态物理。分子动力学方法及其应用，纳米体系物性的理论研究，新型能源材料的设计和计算，表面和界面的结构和动力学性质。,https://phys.fudan.edu.cn/f9/ac/c7537a260524/page.htm
理论与计算物理,黄吉平,热调控与热超构材料。主要发展各种理论、模拟和实验方法，用于控制或调节宏观热流的新奇输运，例如热隐身、热幻像、宏观热二极管、环境温差中零能耗保温等等。,https://phys.fudan.edu.cn/f9/ac/c7537a260524/page.htm
理论与计算物理,孔令欣,规范场论／引力场论对应及其在量子纠缠及量子信息学的应用。量子场量基本结构，包括有关重整化群流及非平衡态的研究及其应用。凝聚态物理中拓扑态分类及相关物理现像。,https://phys.fudan.edu.cn/f9/ac/c7537a260524/page.htm
理论与计算物理,李晓鹏,可控量子体系的多体理论。原子分子物理、凝聚态、量子计算与量子信息的交叉研究。近期研究方向：奇异量子动力学、量子热化、多体局域化、量子神经网络与机器学习。,https://phys.fudan.edu.cn/f9/ac/c7537a260524/page.htm
理论与计算物理,马永利,主要从事凝聚态理论、量子统计系综理论、物质波、量子凝聚现象、超冷原子分子超流理论和涡流物理等的研究。,https://phys.fudan.edu.cn/f9/ac/c7537a260524/page.htm
理论与计算物理,戚扬,理论物理，主要研究强关联电子系统理论、拓扑序、量子相变等量子多体现象，以及用数值模拟方法研究量子多体系统。,https://phys.fudan.edu.cn/f9/ac/c7537a260524/page.htm
理论与计算物理,盛卫东,低维凝聚态物理，主要方向为小量子体系的电子结构，光学性质，及磁学特性等。,https://phys.fudan.edu.cn/f9/ac/c7537a260524/page.htm
理论与计算物理,孙鑫,Hellmann-Feynman定理与正交公式的关系,https://phys.fudan.edu.cn/f9/ac/c7537a260524/page.htm
理论与计算物理,施郁,量子纠缠及其在凝聚态物理和粒子物理中的运用。,https://phys.fudan.edu.cn/f9/ac/c7537a260524/page.htm
理论与计算物理,陶瑞宝,凝聚态理论。量子自旋系统和它们的动力学；介观系统中电荷和自旋的输运理论；量子态的演化和调控。,https://phys.fudan.edu.cn/f9/ac/c7537a260524/page.htm
理论与计算物理,万义顿,演生时空（量子引力）和物质、拓扑物态、量子计算与量子信息（全息原理、纠缠熵）、粒子物理。实验方面致力于用量子计算机模拟和实现拓扑物态及演生时空。,https://phys.fudan.edu.cn/f9/ac/c7537a260524/page.htm
