列表页姓名,列表页职称,详情页,抓取状态,错误
杜刚,教授，博导,https://ic.pku.edu.cn/szdw/zzjs/sjzdhyjsxtx1/dg/index.htm,ok,
郭冠男,助理教授，博导,https://ic.pku.edu.cn/szdw/zzjs/sjzdhyjsxtx1/ggn/index.htm,ok,
黄鹏,助理教授，研究员，博导,https://ic.pku.edu.cn/szdw/zzjs/sjzdhyjsxtx1/hp/index.htm,ok,
梁云,长聘教授，博导,https://ic.pku.edu.cn/szdw/zzjs/sjzdhyjsxtx1/ly/index.htm,ok,
李萌,助理教授，博导,https://ic.pku.edu.cn/szdw/zzjs/sjzdhyjsxtx1/lim/index.htm,ok,
林亦波,长聘副教授，博导,https://ic.pku.edu.cn/szdw/zzjs/sjzdhyjsxtx1/lyb_ae03bbb7dd1548659c1ffe83edd4a047/index.htm,ok,
刘飞,长聘副教授、研究员、博导,https://ic.pku.edu.cn/szdw/zzjs/sjzdhyjsxtx1/lf/index.htm,ok,
刘晓彦,教授，博导,https://ic.pku.edu.cn/szdw/zzjs/sjzdhyjsxtx1/lxy/index.htm,ok,
孙广宇,长聘教授，博导,https://ic.pku.edu.cn/szdw/zzjs/sjzdhyjsxtx1/sgy/index.htm,ok,
王润声,长聘教授，博导,https://ic.pku.edu.cn/szdw/zzjs/sjzdhyjsxtx1/wrs/index.htm,ok,
卓有为,助理教授，博导,https://ic.pku.edu.cn/szdw/zzjs/sjzdhyjsxtx1/zyw/index.htm,ok,
