子方向桶,教师,官网研究内容摘要
微纳光子学/超构材料/光子晶体,安正华,微纳加工；纳米光电/光子学；低维半导体量子结构与亚波长金属耦合体系
微纳光子学/超构材料/光子晶体,何琼,电磁特异介质；纳米光子学；微波/太赫兹/可见光波段电磁波调控
微纳光子学/超构材料/光子晶体,林志方,光学微操控；人工电磁特异材料；光子晶体、磁可调电磁晶体
微纳光子学/超构材料/光子晶体,石磊,微纳光子学结构设计、制备、模拟、表征及应用
微纳光子学/超构材料/光子晶体,周磊,超构材料、超表面、纳米光子学、等离激元学
微纳光子学/超构材料/光子晶体,资剑,光子晶体、表面等离子激元、超构材料、结构色、水波周期结构
非线性光学/超快光学/强场光学,孔庆昌,非线性光学、激光物理、超快光学及应用
非线性光学/超快光学/强场光学,刘韡韬,非线性光学和凝聚态物理实验；表面/界面非线性光学；新材料非线性光学
非线性光学/超快光学/强场光学,沈元壤,非线性光学、激光光谱、液晶、表面科学；界面非线性光学技术
非线性光学/超快光学/强场光学,陶镇生,高次谐波、强场光学；光与物质相互作用中的非平衡态过程
非线性光学/超快光学/强场光学,赵利,超快激光与物质相互作用；黑硅光电性质；微结构金属膜光学特性
量子光学/原子光学/精密测量,吴赛骏,实验原子/光学物理；激光冷却；超冷原子；原子干涉；精密测量；相干控制；全息成像
低维材料光谱/太赫兹/等离激元,晏湖根,低维材料光谱、纳米光学、等离激元；太赫兹和远红外光谱；二维材料黑磷光电特性
表面界面光学/凝聚态光学,刘晓晗,凝聚态光学性质、光子晶体
表面界面光学/凝聚态光学,田传山,非线性激光光谱材料表征；光学效应和界面物理
表面界面光学/凝聚态光学,吴施伟,扫描探针显微；超快纳米光学；小尺度体系中的物理
波物理/非厄米/理论光学,丁鲲,非厄米物理、等离子体激元、卡西米尔相关效应；波系统新奇性质
